train,train_predict,test,test_predict
189.3,[184.40086],,
164.3,[170.78091],,
175.0,[172.97643],,
217.2,[212.6392],,
151.2,[162.31435],,
177.2,[174.66142],,
165.1,[159.89832],,
163.9,[165.56625],,
183.4,[176.57137],,
193.1,[190.44403],,
156.9,[164.33977],,
183.8,[189.59285],,
190.1,[187.28322],,
166.5,[161.20135],,
162.9,[161.82924],,
195.8,[194.55194],,
202.0,[201.05818],,
160.2,[160.77408],,
173.7,[174.78691],,
192.7,[193.74197],,
187.2,[192.47449],,
172.8,[181.26892],,
167.5,[159.39186],,
171.1,[168.66139],,
200.0,[187.14055],,
157.0,[166.96077],,
174.9,[171.76367],,
174.0,[164.97601],,
160.9,[163.70886],,
156.4,[153.85132],,
178.1,[172.489],,
170.3,[167.42867],,
202.7,[203.60031],,
144.2,[137.35992],,
199.6,[198.18567],,
157.5,[161.58232],,
207.8,[207.76869],,
195.7,[192.37932],,
192.9,[194.94066],,
169.5,[163.07622],,
154.8,[160.2038],,
192.2,[190.31241],,
173.9,[173.46207],,
159.6,[161.70071],,
180.0,[179.0617],,
205.2,[204.45354],,
218.4,[210.21213],,
186.3,[186.85611],,
200.0,[200.34451],,
167.0,[163.08437],,
172.5,[170.65205],,
192.7,[186.7955],,
192.6,[183.67493],,
163.6,[167.22539],,
198.7,[189.48445],,
208.4,[204.38301],,
187.4,[190.23651],,
175.4,[170.88202],,
166.7,[165.6047],,
184.2,[177.70694],,
224.3,[217.68947],,
152.4,[156.78683],,
195.7,[197.37254],,
194.9,[192.1517],,
162.2,[161.82677],,
162.8,[161.56805],,
173.1,[166.74457],,
190.8,[189.6389],,
179.8,[174.77118],,
177.9,[180.15094],,
190.5,[185.10374],,
164.6,[163.59683],,
166.0,[166.7649],,
180.0,[176.42021],,
167.9,[166.7178],,
